 62 5983.628800 1.469E-24 0.000E+00.05640.078  376.83890.85-.011000    0 0 2 0 1F2    0 0 0 0 1A1    8E   2         8E   2     3653331034 4 0 0 0E    0.0    0.0
 62 5983.628800 2.248E-24 0.000E+00.05580.078  376.82240.85-.011000    0 0 2 0 1F2    0 0 0 0 1A1    8E   2         8E   2     3653331034 4 0 0 0E    0.0    0.0
 62 5983.628800 3.696E-24 0.000E+00.05260.078  376.74800.85-.011000    0 0 2 0 1F2    0 0 0 0 1A1    8E   2         8E   2     3653331034 4 0 0 0E    0.0    0.0
 62 5983.941500 3.991E-24 0.000E+00.05830.085  293.19230.85-.011000    0 0 2 0 1F2    0 0 0 0 1A1    7F2  2         7F1  2     3653331034 4 0 0 0E    0.0    0.0
 62 5984.018500 2.645E-24 0.000E+00.04910.085  293.18380.85-.011000    0 0 2 0 1F2    0 0 0 0 1A1    7E   1         7E   1     3653331034 4 0 0 0E    0.0    0.0
 62 5984.051200 3.987E-24 0.000E+00.06030.085  293.17820.85-.011000    0 0 2 0 1F2    0 0 0 0 1A1    7F1  2         7F2  2     3653331034 4 0 0 0E    0.0    0.0
 62 5984.088900 7.524E-24 0.000E+00.05820.085  293.16780.85-.011000    0 0 2 0 1F2    0 0 0 0 1A1    7A1  1         7A2  1     3653331034 4 0 0 0E    0.0    0.0
 62 5984.382800 4.574E-24 0.000E+00.06370.085  293.14020.85-.011000    0 0 2 0 1F2    0 0 0 0 1A1    7F1  1         7F2  1     3653331034 4 0 0 0E    0.0    0.0
 62 5984.797600 8.219E-24 0.000E+00.05960.083  219.95550.85-.011000    0 0 2 0 1F2    0 0 0 0 1A1    6A2  1         6A1  1     3653331034 4 0 0 0E    0.0    0.0
 62 5984.836200 4.632E-24 0.000E+00.06290.083  219.95150.85-.011000    0 0 2 0 1F2    0 0 0 0 1A1    6F2  1         6F1  1     3653331034 4 0 0 0E    0.0    0.0
 62 5984.874800 4.935E-24 0.000E+00.06480.083  219.92530.85-.011000                   0 0 0 0 1A1                   5          4623331034 2 0 0 0E    0.0    0.0
 62 5985.076200 8.180E-24 0.000E+00.06240.083  219.93010.85-.011000                   0 0 0 0 1A1                              4623331034 2 0 0 0E    0.0    0.0
 62 5985.092200 6.426E-24 0.000E+00.06290.079  219.90000.85-.011000    0 0 2 0 1F2    0 0 0 0 1A1    6              6    0     3623331034 2 0 0 0E    0.0    0.0
 62 5985.115400 7.270E-24 0.000E+00.06290.085  219.90000.85-.011000    0 0 2 0 1F2    0 0 0 0 1A1    6              6    0     3623331034 2 0 0 0E    0.0    0.0
 62 5985.552900 5.726E-24 0.000E+00.06330.085  157.14620.85-.011000    0 0 2 0 1F2    0 0 0 0 1A1    5F2  2         5F1  2     3653331034 4 0 0 0E    0.0    0.0
 62 5985.574300 3.781E-24 0.000E+00.05660.085  157.14450.85-.011000    0 0 2 0 1F2    0 0 0 0 1A1    5E   1         5E   1     3653331034 4 0 0 0E    0.0    0.0
 62 5985.713300 6.498E-24 0.000E+00.06700.085  157.13520.85-.011000    0 0 2 0 1F2    0 0 0 0 1A1    5F1  1         5F2  1     3653331034 4 0 0 0E    0.0    0.0
 62 5985.751300 6.497E-24 0.000E+00.06300.085  157.13160.85-.011000    0 0 2 0 1F2    0 0 0 0 1A1    5F2  1         5F1  1     3653331034 4 0 0 0E    0.0    0.0
 62 5986.146500 7.413E-24 0.000E+00.05930.085  104.78090.85-.011000    0 0 2 0 1F2    0 0 0 0 1A1    4E   1         4E   1     3653331034 4 0 0 0E    0.0    0.0
 62 5986.238800 9.465E-24 0.000E+00.06360.085  104.78490.85-.011000    0 0 2 0 1F2    0 0 0 0 1A1    4F1  1         4F2  1     3653331034 4 0 0 0E    0.0    0.0
 62 5986.267400 9.137E-24 0.000E+00.06590.085  104.77960.85-.011000    0 0 2 0 1F2    0 0 0 0 1A1    4F2  1         4F1  1     3653331034 4 0 0 0E    0.0    0.0
 62 5986.296300 1.397E-23 0.000E+00.06460.083  104.77770.85-.011115    0 0 2 0 1F2    0 0 0 0 1A1    4A2  1         4A1  1     3653331034 4 0 0 0E    0.0    0.0
 62 5986.611800 9.602E-24 0.000E+00.06190.082   62.88110.85-.011000    0 0 2 0 1F2    0 0 0 0 1A1    3A1  1         3A2  1     3653331034 4 0 0 0E    0.0    0.0
 62 5986.660400 5.082E-24 0.000E+00.06480.079   62.87980.85-.011000    0 0 2 0 1F2    0 0 0 0 1A1    3F1  1         3F2  1     3653331034 4 0 0 0E    0.0    0.0
 62 5986.702500 5.725E-24 0.000E+00.06480.082   62.87980.85-.011000                   0 0 0 0 1A1                              4623331034 2 0 0 0E    0.0    0.0
 62 5986.993000 5.534E-24 0.000E+00.06290.083   31.44380.85-.011000    0 0 2 0 1F2    0 0 0 0 1A1    2F1  1         2F2  1     3653331034 4 0 0 0E    0.0    0.0
 62 5987.017000 3.171E-24 0.000E+00.06100.079   31.44360.85-.011000                   0 0 0 0 1A1                              4623331034 2 0 0 0E    0.0    0.0
 62 5987.218400 3.603E-24 0.000E+00.06120.079   10.48210.85-.011000    0 0 2 0 1F2    0 0 0 0 1A1    1F2  1         1F1  1     3653331034 4 0 0 0E    0.0    0.0
 62 5997.961800 6.503E-24 0.000E+00.05690.079    0.00000.85-.011000    0 0 2 0 1F2    0 0 0 0 1A1    1A2  1         0A1  1     3653331034 4 0 0 0E    0.0    0.0
 62 6008.468400 6.405E-24 0.000E+00.06260.079   10.48210.85-.011000    0 0 2 0 1F2    0 0 0 0 1A1    2F2  1         1F1  1     3653331034 4 0 0 0E    0.0    0.0
 62 6018.840400 7.622E-24 0.000E+00.06500.079   31.44380.85-.011000    0 0 2 0 1F2    0 0 0 0 1A1    3F1  1         2F2  1     3653331034 4 0 0 0E    0.0    0.0
 62 6018.840400 5.081E-24 0.000E+00.05720.079   31.44360.85-.011000    0 0 2 0 1F2    0 0 0 0 1A1    3E   1         2E   1     3653331034 4 0 0 0E    0.0    0.0
 62 6029.067600 5.077E-24 0.000E+00.06570.079   62.87870.85-.011000    0 0 2 0 1F2    0 0 0 0 1A1    4F2  1         3F1  1     3653331034 4 0 0 0E    0.0    0.0
 62 6029.082800 1.109E-23 0.000E+00.06550.083   62.87980.85-.011060    0 0 2 0 1F2    0 0 0 0 1A1    4F1  1         3F2  1     3653331034 4 0 0 0E    0.0    0.0
 62 6029.106400 1.577E-23 0.000E+00.06100.082   62.88110.85-.011192    0 0 2 0 1F2    0 0 0 0 1A1    4A1  1         3A2  1     3653331034 4 0 0 0E    0.0    0.0
 62 6039.153700 1.594E-23 0.000E+00.05920.083  104.77770.85-.010837    0 0 2 0 1F2    0 0 0 0 1A1    5A2  1         4A1  1     3653331034 4 0 0 0E    0.0    0.0
 62 6039.169500 8.642E-24 0.000E+00.06560.083  104.77960.85-.011000    0 0 2 0 1F2    0 0 0 0 1A1    5F2  1         4F1  1     3653331034 4 0 0 0E    0.0    0.0
 62 6039.190400 6.197E-24 0.000E+00.05320.083  104.78090.85-.011000                   0 0 0 0 1A1                              4623331034 2 0 0 0E    0.0    0.0
 62 6039.233200 8.602E-24 0.000E+00.06080.083  104.78490.85-.011000    0 0 2 0 1F2    0 0 0 0 1A1    5F1  1         4F2  1     3653331034 4 0 0 0E    0.0    0.0
 62 6049.123500 8.899E-24 0.000E+00.06040.083  157.13160.85-.011000    0 0 2 0 1F2    0 0 0 0 1A1    6F2  1         5F1  1     3653331034 4 0 0 0E    0.0    0.0
 62 6049.158200 8.781E-24 0.000E+00.06250.085  157.13520.85-.011000    0 0 2 0 1F2    0 0 0 0 1A1    6F1  1         5F2  1     3653331034 4 0 0 0E    0.0    0.0
 62 6049.244800 9.632E-24 0.000E+00.05900.083  157.14620.85-.011000    0 0 2 0 1F2    0 0 0 0 1A1    6F2  2         5F1  2     3653331034 4 0 0 0E    0.0    0.0
 62 6058.952600 3.969E-24 0.000E+00.05420.083  219.92370.85-.011000    0 0 2 0 1F2    0 0 0 0 1A1    7E   1         6E   1     3653331034 4 0 0 0E    0.0    0.0
 62 6058.952600 5.948E-24 0.000E+00.06050.085  219.94700.85-.011000    0 0 2 0 1F2    0 0 0 0 1A1    7E   1         6E   1     3653331034 4 0 0 0E    0.0    0.0
 62 6059.003700 1.220E-23 0.000E+00.05510.083  219.93010.85-.010756    0 0 2 0 1F2    0 0 0 0 1A1    7A1  1         6A2  1     3653331034 4 0 0 0E    0.0    0.0
 62 6059.118300 7.144E-24 0.000E+00.06190.083  219.92530.85-.011000    0 0 2 0 1F2    0 0 0 0 1A1    7F1  1         6F2  1     3653331034 4 0 0 0E    0.0    0.0
 62 6059.149000 7.505E-24 0.000E+00.06010.085  219.95150.85-.011000    0 0 2 0 1F2    0 0 0 0 1A1    7F2  1         6F1  1     3653331034 4 0 0 0E    0.0    0.0
 62 6059.175700 1.271E-23 0.000E+00.06490.085  219.95550.85-.011065    0 0 2 0 1F2    0 0 0 0 1A1    7A2  1         6A1  1     3653331034 4 0 0 0E    0.0    0.0
 62 6068.667200 7.630E-24 0.000E+00.05830.078  293.13660.85-.011000    0 0 2 0 1F2    0 0 0 0 1A1    8F2  1         7F1  1     3653331034 4 0 0 0E    0.0    0.0
 62 6068.695200 6.335E-24 0.000E+00.06110.083  293.14020.85-.011000    0 0 2 0 1F2    0 0 0 0 1A1    8F1  1         7F2  1     3653331034 4 0 0 0E    0.0    0.0
 62 6068.915100 9.637E-24 0.000E+00.05220.085  293.16780.85-.011000    0 0 2 0 1F2    0 0 0 0 1A1    8A1  1         7A2  1     3653331034 4 0 0 0E    0.0    0.0
 62 6068.987300 9.591E-24 0.000E+00.05740.083  293.17820.85-.011000    0 0 2 0 1F2    0 0 0 0 1A1    8F1  2         7F2  2     3653331034 4 0 0 0E    0.0    0.0
 62 6069.021500 4.268E-24 0.000E+00.04210.078  293.18380.85-.011000    0 0 2 0 1F2    0 0 0 0 1A1    8E   1         7E   1     3653331034 4 0 0 0E    0.0    0.0
 62 6069.084000 1.248E-23 0.000E+00.06120.078  293.19230.85-.011011    0 0 2 0 1F2    0 0 0 0 1A1    8F2  2         7F1  2     3653331034 4 0 0 0E    0.0    0.0
